FIPS_Code,state,Area_name,Less_highSch,HighSch,SomeColl,Bachelors
36001,NY,Albany County,"16,106","47,042","56,068","85,702"
36003,NY,Allegany County,"2,770","11,012","9,988","6,268"
36005,NY,Bronx County,"253,249","259,572","230,175","186,550"
36007,NY,Broome County,"11,927","40,302","39,490","36,345"
36009,NY,Cattaraugus County,"5,894","20,715","16,159","10,081"
36011,NY,Cayuga County,"6,772","18,436","17,705","12,523"
36013,NY,Chautauqua County,"10,019","31,774","27,808","19,916"
36015,NY,Chemung County,"5,787","21,042","18,912","13,863"
36017,NY,Chenango County,"4,088","13,380","10,470","6,406"
36019,NY,Clinton County,"6,819","20,807","14,964","12,621"
36021,NY,Columbia County,"4,429","13,653","12,603","14,889"
36023,NY,Cortland County,"2,798","9,663","9,233","8,419"
36025,NY,Delaware County,"3,627","12,319","9,431","7,410"
36027,NY,Dutchess County,"18,362","55,135","60,058","72,058"
36029,NY,Erie County,"52,928","178,202","192,920","221,931"
36031,NY,Essex County,"2,447","9,871","8,666","7,683"
36033,NY,Franklin County,"4,422","13,214","10,740","6,689"
36035,NY,Fulton County,"4,898","13,766","12,905","7,032"
36037,NY,Genesee County,"3,205","14,864","14,055","9,210"
36039,NY,Greene County,"4,709","13,689","9,157","7,804"
36041,NY,Hamilton County,804,969,"1,193",601
36043,NY,Herkimer County,"4,446","16,144","13,747","9,395"
36045,NY,Jefferson County,"6,416","24,858","24,361","15,905"
36047,NY,Kings County,"313,615","458,191","340,996","667,445"
36049,NY,Lewis County,"1,809","8,198","4,971","3,382"
36051,NY,Livingston County,"4,009","13,617","13,763","11,289"
36053,NY,Madison County,"3,831","16,683","14,882","12,571"
36055,NY,Monroe County,"49,395","119,716","145,516","198,049"
36057,NY,Montgomery County,"4,503","12,106","11,506","6,084"
36059,NY,Nassau County,"81,146","213,909","214,545","433,413"
36061,NY,New York County,"158,971","155,198","169,148","766,048"
36063,NY,Niagara County,"13,277","50,066","50,303","37,080"
36065,NY,Oneida County,"18,349","50,633","49,041","40,921"
36067,NY,Onondaga County,"28,391","80,217","93,903","113,367"
36069,NY,Ontario County,"4,704","20,395","24,049","28,024"
36071,NY,Orange County,"24,903","71,028","73,209","73,635"
36073,NY,Orleans County,"3,620","11,300","9,803","4,776"
36075,NY,Oswego County,"9,455","30,006","25,429","15,203"
36077,NY,Otsego County,"3,308","12,494","11,735","12,402"
36079,NY,Putnam County,"4,930","19,139","18,549","27,946"
36081,NY,Queens County,"295,810","453,171","367,155","529,260"
36083,NY,Rensselaer County,"9,071","32,369","34,519","35,776"
36085,NY,Richmond County,"37,207","100,452","81,026","111,976"
36087,NY,Rockland County,"24,008","45,877","50,052","83,654"
36089,NY,St. Lawrence County,"8,125","26,380","20,091","17,061"
36091,NY,Saratoga County,"9,735","40,531","45,288","67,456"
36093,NY,Schenectady County,"9,914","31,497","31,026","34,238"
36095,NY,Schoharie County,"2,308","7,970","7,026","5,005"
36097,NY,Schuyler County,"1,268","4,430","4,428","3,103"
36099,NY,Seneca County,"3,758","8,702","7,043","5,207"
36101,NY,Steuben County,"6,475","25,012","20,500","16,099"
36103,NY,Suffolk County,"97,090","281,922","277,165","374,665"
36105,NY,Sullivan County,"7,038","17,945","14,951","13,152"
36107,NY,Tioga County,"3,064","12,472","10,138","9,022"
36109,NY,Tompkins County,"3,326","11,347","13,111","31,990"
36111,NY,Ulster County,"12,059","38,710","37,174","42,247"
36113,NY,Warren County,"3,854","14,653","14,333","14,993"
36115,NY,Washington County,"5,440","17,429","12,888","9,235"
36117,NY,Wayne County,"6,934","21,531","20,982","14,467"
36119,NY,Westchester County,"79,762","128,492","133,103","326,933"
36121,NY,Wyoming County,"2,938","11,614","9,350","5,131"
36123,NY,Yates County,"2,272","5,443","4,757","4,201"
