FIPS_Code,State,Area_name,Civilian_labor_force_2019,Employed_2019,Unemployed_2019,Unemployment_rate_2019,Civilian_labor_force_2020,Employed_2020,Unemployed_2020,Unemployment_rate_2020,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019
36000,NY,New York,9507139,9143287,363852,3.8,9289171,8361006,928165,10,72038,100
36001,NY,"Albany County, NY",156887,151417,5470,3.5,157326,146027,11299,7.2,69408,96.34915161
36003,NY,"Allegany County, NY",19188,18176,1012,5.3,19038,17502,1536,8.1,49411,68.59018707
36005,NY,"Bronx County, NY",596168,564818,31350,5.3,589087,494651,94436,16,41470,57.56684113
36007,NY,"Broome County, NY",83160,79389,3771,4.5,81897,74798,7099,8.7,52179,72.43260193
36009,NY,"Cattaraugus County, NY",33593,31964,1629,4.8,33142,30022,3120,9.4,50783,70.49473572
36011,NY,"Cayuga County, NY",35747,34281,1466,4.1,35417,32618,2799,7.9,58055,80.58940887
36013,NY,"Chautauqua County, NY",54049,51606,2443,4.5,52729,48027,4702,8.9,50143,69.60631561
36015,NY,"Chemung County, NY",35052,33650,1402,4,35430,32328,3102,8.8,58400,81.06832886
36017,NY,"Chenango County, NY",21843,20910,933,4.3,21760,20261,1499,6.9,51894,72.03697968
36019,NY,"Clinton County, NY",36068,34557,1511,4.2,35447,32623,2824,8,59069,81.99700165
36021,NY,"Columbia County, NY",31041,30086,955,3.1,30309,28431,1878,6.2,71563,99.34062958
36023,NY,"Cortland County, NY",22836,21766,1070,4.7,22453,20668,1785,7.9,55143,76.54710388
36025,NY,"Delaware County, NY",18941,18085,856,4.5,18614,17274,1340,7.2,51038,70.84871674
36027,NY,"Dutchess County, NY",144340,139358,4982,3.5,142061,131173,10888,7.7,84564,117.3880463
36029,NY,"Erie County, NY",440795,422846,17949,4.1,439291,397536,41755,9.5,60620,84.15003204
36031,NY,"Essex County, NY",16940,16174,766,4.5,16518,15174,1344,8.1,55091,76.47491455
36033,NY,"Franklin County, NY",19437,18515,922,4.7,19197,17622,1575,8.2,48943,67.94052887
36035,NY,"Fulton County, NY",22465,21380,1085,4.8,22509,20569,1940,8.6,50061,69.49249268
36037,NY,"Genesee County, NY",29631,28514,1117,3.8,28962,26833,2129,7.4,62570,86.85693359
36039,NY,"Greene County, NY",20162,19297,865,4.3,20281,18598,1683,8.3,54746,75.9960022
36041,NY,"Hamilton County, NY",2207,2081,126,5.7,2141,1972,169,7.9,60148,83.49481964
36043,NY,"Herkimer County, NY",27816,26506,1310,4.7,27477,25227,2250,8.2,55778,77.42858124
36045,NY,"Jefferson County, NY",43737,41399,2338,5.3,43295,39542,3753,8.7,53829,74.72306061
36047,NY,"Kings County, NY",1196433,1148750,47683,4,1151130,1006852,144278,12.5,66501,92.31378174
36049,NY,"Lewis County, NY",11540,10926,614,5.3,11389,10515,874,7.7,56599,78.56825256
36051,NY,"Livingston County, NY",30584,29339,1245,4.1,29831,27727,2104,7.1,60268,83.66139984
36053,NY,"Madison County, NY",32765,31355,1410,4.3,32437,29908,2529,7.8,61713,85.66728973
36055,NY,"Monroe County, NY",360928,346547,14381,4,359299,328525,30774,8.6,62159,86.28640747
36057,NY,"Montgomery County, NY",22185,21103,1082,4.9,22032,20098,1934,8.8,52092,72.31183624
36059,NY,"Nassau County, NY",708259,684992,23267,3.3,698942,640035,58907,8.4,117767,163.4790039
36061,NY,"New York County, NY",918438,886994,31444,3.4,859618,777583,82035,9.5,93007,129.1082458
36063,NY,"Niagara County, NY",98222,93554,4668,4.8,98105,87906,10199,10.4,56371,78.25175476
36065,NY,"Oneida County, NY",101213,97070,4143,4.1,100648,92473,8175,8.1,56516,78.45304108
36067,NY,"Onondaga County, NY",219487,211207,8280,3.8,220483,202037,18446,8.4,61597,85.50626373
36069,NY,"Ontario County, NY",55334,53276,2058,3.7,54401,50447,3954,7.3,66754,92.66498566
36071,NY,"Orange County, NY",186523,179768,6755,3.6,183265,167957,15308,8.4,83188,115.4779434
36073,NY,"Orleans County, NY",17459,16668,791,4.5,17146,15713,1433,8.4,53115,73.73191833
36075,NY,"Oswego County, NY",52479,49738,2741,5.2,52209,47549,4660,8.9,57640,80.01332855
36077,NY,"Otsego County, NY",27820,26687,1133,4.1,26607,24686,1921,7.2,52414,72.75881958
