ID,state,Area_name,Rural_Urban2003,Urban_2003,Rural_urban2013,Urban_2013,Less_highSch1970,HighSch1970,Somecoll1970,Bachelors1970,Percent_lesshighSch1970,Percent_highsch1970,Percent_somecoll1970,Percent_Bachelors1970,Less_highSch1980,Highsch1980,Somecoll1980,Bachelors1980,Percent_lesshighSch1980,Percent_highsch1980,SomeColl1980,Percent_Bachelors1980,Less_highSch1990,Highsch1990,Some_orAssociate1990,Bachelors1990,Percent_lesshighSch1990,Percent_highschl1990,Percent_orAssociate_deg1990,Percent_Bachalors1990,Less_highSch2000,HighSch_dip2000,Some_orAssociate2000,Bachelors2000,Percent_lesshighSch2000,Percent_highsch2000,Percent_orAssociate_deg2000,Percent_Bachalors2000,Less_highSch2015_19,HighSch_dip2015_19,SomeColl2015_19,Bachelors2015_19,Percent_lesshighSch2015_19,Percent_highsch2015_19,Percent_orAssociate_deg2015_19,Percent_Bachalors2015_19
36000,NY,New York,,,,,"4,932,459","3,249,934","997,627","1,238,535",47.3,31.2,9.6,11.9,"3,615,909","3,651,739","1,529,817","1,923,547",33.7,34.1,14.3,17.9,"2,977,604","3,485,686","2,621,450","2,733,829",25.2,29.5,22.2,23.1,"2,626,324","3,480,768","3,002,232","3,433,212",20.9,27.8,23.9,27.4,"1,796,594","3,541,274","3,308,262","4,985,807",13.2,26.0,24.3,36.6
36001,NY,Albany County,2,2,2,2,"70,521","52,113","16,857","22,245",43.6,32.2,10.4,13.8,"49,153","59,034","26,707","38,743",28.3,34.0,15.4,22.3,"36,551","55,761","44,633","54,173",19.1,29.2,23.4,28.3,"26,717","52,796","50,782","65,086",13.7,27.0,26.0,33.3,"16,106","47,042","56,068","85,702",7.9,23.0,27.4,41.8
36003,NY,Allegany County,7,9,7,9,"9,685","7,552","3,135","2,603",42.2,32.9,13.6,11.3,"8,595","10,251","4,361","3,660",32.0,38.2,16.2,13.6,"6,715","11,211","6,643","4,526",23.1,38.5,22.8,15.6,"5,041","11,897","7,916","5,156",16.8,39.6,26.4,17.2,"2,770","11,012","9,988","6,268",9.2,36.7,33.3,20.9
36005,NY,Bronx County,1,1,1,1,"505,578","232,214","48,415","51,625",60.3,27.7,5.8,6.2,"335,762","211,877","73,251","61,785",49.2,31.0,10.7,9.1,"304,929","207,262","133,070","89,761",41.5,28.2,18.1,12.2,"299,686","205,246","173,456","116,404",37.7,25.8,21.8,14.6,"253,249","259,572","230,175","186,550",27.2,27.9,24.8,20.1
36007,NY,Broome County,2,2,2,2,"49,881","45,991","13,356","13,840",40.5,37.4,10.9,11.2,"39,125","49,671","19,044","19,907",30.6,38.9,14.9,15.6,"29,268","45,549","35,108","28,624",21.1,32.9,25.3,20.7,"21,461","43,393","37,666","30,021",16.2,32.7,28.4,22.7,"11,927","40,302","39,490","36,345",9.3,31.5,30.8,28.4
36009,NY,Cattaraugus County,4,3,4,3,"20,787","14,711","4,911","3,198",47.7,33.7,11.3,7.3,"17,257","19,735","6,740","5,231",35.2,40.3,13.8,10.7,"13,217","20,917","11,159","6,634",25.5,40.3,21.5,12.8,"10,190","22,317","13,593","8,054",18.8,41.2,25.1,14.9,"5,894","20,715","16,159","10,081",11.2,39.2,30.6,19.1
36011,NY,Cayuga County,4,5,4,5,"20,246","14,032","4,344","3,301",48.3,33.5,10.4,7.9,"17,767","17,499","6,670","5,136",37.7,37.2,14.2,10.9,"14,043","18,541","13,197","6,840",26.7,35.2,25.1,13.0,"11,442","19,644","15,072","8,491",20.9,35.9,27.6,15.5,"6,772","18,436","17,705","12,523",12.2,33.3,31.9,22.6
36013,NY,Chautauqua County,4,3,4,3,"38,681","28,701","8,922","6,193",46.9,34.8,10.8,7.5,"29,891","34,456","12,734","10,348",34.2,39.4,14.6,11.8,"23,144","32,826","21,744","12,868",25.6,36.2,24.0,14.2,"17,166","33,302","25,332","15,461",18.8,36.5,27.8,16.9,"10,019","31,774","27,808","19,916",11.2,35.5,31.1,22.2
36015,NY,Chemung County,3,2,3,2,"22,497","21,026","5,495","5,526",41.2,38.5,10.1,10.1,"17,574","24,216","8,215","7,689",30.5,42.0,14.2,13.3,"13,965","22,496","15,416","9,459",22.8,36.7,25.1,15.4,"10,907","21,930","16,662","11,297",17.9,36.1,27.4,18.6,"5,787","21,042","18,912","13,863",9.7,35.3,31.7,23.3
36017,NY,Chenango County,6,6,6,6,"11,566","8,737","2,576","2,171",46.2,34.9,10.3,8.7,"10,201","11,256","3,831","3,433",35.5,39.2,13.3,12.0,"8,116","12,985","7,635","4,333",24.5,39.3,23.1,13.1,"6,676","13,702","9,020","4,965",19.4,39.9,26.2,14.4,"4,088","13,380","10,470","6,406",11.9,39.0,30.5,18.7
