FIPS_Code,State,Area_name,Civilian_labor_force_2019,Employed_2019,Unemployed_2019,Unemployment_rate_2019,Civilian_labor_force_2020,Employed_2020,Unemployed_2020,Unemployment_rate_2020,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_T,Rural_urban_Continuum_Code,Urban_Influence_Code,Est_Total_Pop_Ct,CI90_LB_Total_Pop_Ct,CI90_UB_Total_Pop_Ct,Est_Total_Pop_Pct,Rural_urban_Continuum_Desc,Urban_Influence_Desc,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,PCT_MALE,PCT_FEMALE,PCT_WA_MALE,PCT_WA_FEMALE,PCT_BA_MALE,PCT_BA_FEMALE,PCT_IA_MALE,PCT_IA_FEMALE,PCT_AA_MALE,PCT_AA_FEMALE,PCT_NA_MALE,PCT_NA_FEMALE,PCT_TOM_MALE,PCT_TOM_FEMALE,PCT_BY_F_WA_FEMALE,PCT_BY_F_BA_FEMALE,PCT_BY_F_IA_FEMALE,PCT_BY_F_AA_FEMALE,PCT_BY_F_NA_FEMALE,PCT_BY_F_TOM_FEMALE,year,agecat,racecat,sexcat,iprcat,NIPR,nipr_moe,NUI,nui_moe,NIC,nic_moe,PCTUI,pctui_moe,PCTIC,pctic_moe,PCTELIG,pctelig_moe,PCTLIIC,pctliic_moe
36001,NY,Albany County,156887,151417,5470,3.5,157326,146027,11299,7.2,69408,96.34915161,2,2,33970,29708,38232,11.7,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,259569,124183,135386,96960,104885,15956,18264,349,416,8168,8909,78,81,2672,2831,0.478419996,0.521580004,0.373542295,0.404073676,0.061471131,0.070362794,0.001344537,0.001602657,0.031467548,0.03432228,0.000300498,0.000312056,0.010293987,0.010906541,0.774710827,0.134903166,0.003072696,0.065804441,0.000598289,0.020910582,2018,1,0,2,0,94494,0,3563,670,90931,670,3.8,0.7,96.2,0.7,3.8,0.7,96.2,0.7
36003,NY,Allegany County,19188,18176,1012,5.3,19038,17502,1536,8.1,49411,68.59018707,7,9,7491,6283,8699,17.9,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",38526,19517,19009,18621,18249,365,221,63,60,236,281,5,13,227,185,0.50659295,0.49340705,0.483335929,0.473680112,0.009474121,0.005736386,0.001635259,0.00155739,0.006125733,0.007293776,0.000129782,0.000337434,0.005892125,0.004801952,0.960018938,0.011626072,0.0031564,0.014782471,0.000683887,0.009732232,2018,1,0,2,0,12153,0,650,139,11503,139,5.3,1.1,94.7,1.1,5.3,1.1,94.7,1.1
36005,NY,Bronx County,596168,564818,31350,5.3,589087,494651,94436,16,41470,57.56684113,1,1,361834,343947,379721,26.2,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,1125626,520202,605424,235691,267940,223831,268451,16131,17849,25416,27717,2196,2543,16937,20924,0.46214462,0.53785538,0.209386599,0.238036435,0.19885024,0.238490404,0.014330692,0.015856954,0.022579436,0.024623632,0.001950914,0.002259187,0.015046738,0.018588767,0.442565871,0.443409908,0.029481818,0.045781139,0.004200362,0.034560903,2018,1,0,2,0,462031,0,38475,4188,423556,4188,8.3,0.9,91.7,0.9,8.3,0.9,91.7,0.9
36007,NY,Broome County,83160,79389,3771,4.5,81897,74798,7099,8.7,52179,72.43260193,2,2,31962,28397,35527,17.8,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,160120,78062,82058,67888,71674,4622,4650,199,217,3672,3770,42,53,1639,1694,0.487521859,0.512478141,0.423982013,0.44762678,0.028865851,0.029040719,0.001242818,0.001355234,0.0229328,0.023544841,0.000262303,0.000331002,0.010236073,0.010579565,0.873455361,0.056667235,0.002644471,0.045943113,0.000645885,0.020643935,2018,1,0,2,0,55425,0,2568,490,52857,490,4.6,0.9,95.4,0.9,4.6,0.9,95.4,0.9
36009,NY,Cattaraugus County,33593,31964,1629,4.8,33142,30022,3120,9.4,50783,70.49473572,4,3,10821,9212,12430,14.7,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,62468,30896,31572,28754,29456,537,334,916,1040,236,269,4,11,449,462,0.49458923,0.50541077,0.460299673,0.471537427,0.008596401,0.005346738,0.014663508,0.016648524,0.003777934,0.004306205,6.40328E-05,0.00017609,0.00718768,0.007395787,0.932978589,0.010578994,0.03294058,0.008520208,0.00034841,0.014633219,2018,1,0,2,0,21773,0,1319,249,20454,249,6.1,1.1,93.9,1.1,6.1,1.1,93.9,1.1
36011,NY,Cayuga County,35747,34281,1466,4.1,35417,32618,2799,7.9,58055,80.58940887,4,5,10058,8534,11582,13.8,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,64372,32967,31405,29743,29953,2342,612,196,107,177,253,30,15,479,465,0.512132604,0.487867396,0.462048717,0.465311005,0.036382278,0.009507239,0.003044802,0.001662213,0.002749643,0.00393028,0.000466041,0.000233021,0.007441123,0.007223638,0.953765324,0.019487343,0.003407101,0.008056042,0.000477631,0.014806559,2018,1,0,2,0,22127,0,950,190,21177,190,4.3,0.9,95.7,0.9,4.3,0.9,95.7,0.9
36013,NY,Chautauqua County,54049,51606,2443,4.5,52729,48027,4702,8.9,50143,69.60631561,4,3,19896,16908,22884,16.3,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,105837,51896,53941,48593,51201,1760,1152,351,344,337,431,34,24,821,789,0.490338917,0.509661083,0.45913055,0.483772216,0.016629345,0.010884662,0.003316421,0.003250281,0.003184142,0.0040723,0.000321249,0.000226764,0.007757212,0.00745486,0.94920376,0.021356667,0.006377338,0.007990212,0.000444931,0.014627093,2018,1,0,2,0,36185,0,1798,340,34387,340,5,0.9,95,0.9,5,0.9,95,0.9
36015,NY,Chemung County,35052,33650,1402,4,35430,32328,3102,8.8,58400,81.06832886,3,2,11221,9298,13144,14.1,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,68848,33921,34927,29636,32022,2928,1508,138,114,487,532,12,14,720,737,0.492694051,0.507305949,0.430455496,0.46511155,0.042528469,0.021903323,0.002004416,0.001655822,0.007073553,0.007727167,0.000174297,0.000203347,0.01045782,0.010704741,0.916826524,0.043175767,0.003263951,0.015231769,0.000400836,0.021101154,2018,1,0,2,0,24213,0,945,202,23268,202,3.9,0.8,96.1,0.8,3.9,0.8,96.1,0.8
36017,NY,Chenango County,21843,20910,933,4.3,21760,20261,1499,6.9,51894,72.03697968,6,6,6368,5155,7581,13.7,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",39232,19579,19653,18883,19112,242,153,88,76,112,116,4,4,250,192,0.499056892,0.500943108,0.481316272,0.487153344,0.006168434,0.003899878,0.002243067,0.001937194,0.002854812,0.00295677,0.000101958,0.000101958,0.006372349,0.004893964,0.972472396,0.007785071,0.003867094,0.005902407,0.000203531,0.009769501,2018,1,0,2,0,13802,0,621,126,13181,126,4.5,0.9,95.5,0.9,4.5,0.9,95.5,0.9
36019,NY,Clinton County,36068,34557,1511,4.2,35447,32623,2824,8,59069,81.99700165,5,8,10950,9078,12822,14.8,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,68495,35249,33246,31503,31456,2761,589,169,131,416,637,15,17,385,416,0.514621505,0.485378495,0.459931382,0.4592452,0.040309512,0.008599168,0.002467333,0.001912548,0.006073436,0.009299949,0.000218994,0.000248193,0.005620848,0.006073436,0.946158936,0.017716417,0.003940324,0.0191602,0.00051134,0.012512783,2018,1,0,2,0,23278,0,1050,214,22228,214,4.5,0.9,95.5,0.9,4.5,0.9,95.5,0.9
