"","FIPS","CTYNAME","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","IA_MALE","IA_FEMALE","AA_MALE","AA_FEMALE","NA_MALE","NA_FEMALE","TOM_MALE","TOM_FEMALE","PCT_MALE","PCT_FEMALE","PCT_WA_MALE","PCT_WA_FEMALE","PCT_BA_MALE","PCT_BA_FEMALE","PCT_IA_MALE","PCT_IA_FEMALE","PCT_AA_MALE","PCT_AA_FEMALE","PCT_NA_MALE","PCT_NA_FEMALE","PCT_TOM_MALE","PCT_TOM_FEMALE","PCT_BY_F_WA_FEMALE","PCT_BY_F_BA_FEMALE","PCT_BY_F_IA_FEMALE","PCT_BY_F_AA_FEMALE","PCT_BY_F_NA_FEMALE","PCT_BY_F_TOM_FEMALE"
"1",36001,"Albany County",259569,124183,135386,96960,104885,15956,18264,349,416,8168,8909,78,81,2672,2831,0.478419996224511,0.521580003775489,0.373542295112282,0.404073675978256,0.0614711309902184,0.0703627937080314,0.00134453652015456,0.00160265671170286,0.0314675481278581,0.0343222803955788,0.000300498133444286,0.000312055753961374,0.010293987340553,0.0109065412279587,0.774710826821089,0.134903165763077,0.00307269584742883,0.0658044406364026,0.000598289335677249,0.0209105815963246
"2",36003,"Allegany County",38526,19517,19009,18621,18249,365,221,63,60,236,281,5,13,227,185,0.506592950215439,0.493407049784561,0.483335928983024,0.473680112132067,0.00947412137257956,0.00573638581737009,0.00163525930540414,0.00155738981467061,0.00612573327103774,0.0072937756320407,0.000129782484555884,0.000337434459845299,0.00589212479883715,0.00480195192856772,0.960018938397601,0.0116260718606976,0.00315639960018938,0.0147824714608869,0.000683886580041033,0.00973223210058393
"3",36005,"Bronx County",1125626,520202,605424,235691,267940,223831,268451,16131,17849,25416,27717,2196,2543,16937,20924,0.462144619971465,0.537855380028535,0.2093865991013,0.238036434837148,0.198850239777688,0.238490404450501,0.0143306924324776,0.0158569542636719,0.0225794357983913,0.0246236316502995,0.0019509144245069,0.00225918733220448,0.0150467384371008,0.0185887674947096,0.442565871191099,0.443409907767119,0.0294818177013135,0.0457811385078887,0.00420036206030815,0.034560902772272
"4",36007,"Broome County",160120,78062,82058,67888,71674,4622,4650,199,217,3672,3770,42,53,1639,1694,0.487521858606045,0.512478141393955,0.423982013489883,0.447626779915064,0.028865850612041,0.0290407194604047,0.00124281788658506,0.00135523357481889,0.0229328003997002,0.0235448413689733,0.000262303272545591,0.000331001748688484,0.010236072945291,0.0105795653260055,0.873455360842331,0.0566672353701041,0.00264447098393819,0.0459431134075898,0.000645884618196885,0.0206439347778401
"5",36009,"Cattaraugus County",62468,30896,31572,28754,29456,537,334,916,1040,236,269,4,11,449,462,0.494589229685599,0.505410770314401,0.460299673432798,0.471537427162707,0.00859640135749504,0.00534673752961516,0.0146635077159506,0.0166485240443107,0.00377793430236281,0.00430620477684574,0.0000640327847858103,0.000176090158160978,0.00718768009220721,0.00739578664276109,0.93297858862283,0.0105789940453566,0.0329405802609908,0.00852020777904472,0.00034840998352971,0.0146332193082478
"6",36011,"Cayuga County",64372,32967,31405,29743,29953,2342,612,196,107,177,253,30,15,479,465,0.512132604237867,0.487867395762133,0.462048716833406,0.465311004784689,0.0363822780090723,0.00950723917231094,0.00304480208786429,0.00166221338470142,0.00274964270179581,0.00393028024606972,0.000466041135897595,0.000233020567948798,0.0074411234698316,0.00722363760641273,0.953765323992995,0.0194873427798121,0.00340710078013055,0.00805604203152364,0.000477630950485591,0.0148065594650533
"7",36013,"Chautauqua County",105837,51896,53941,48593,51201,1760,1152,351,344,337,431,34,24,821,789,0.490338917391838,0.509661082608162,0.459130549807723,0.483772215765753,0.0166293451250508,0.0108846622636696,0.00331642053346183,0.00325028109262356,0.00318414165178529,0.00407229985732778,0.000321248712643027,0.000226763797159783,0.00775721156117426,0.00745485983162788,0.949203759663336,0.0213566674700135,0.00637733820285126,0.00799021152740958,0.000444930572291949,0.0146270925640978
"8",36015,"Chemung County",68848,33921,34927,29636,32022,2928,1508,138,114,487,532,12,14,720,737,0.492694050662329,0.507305949337671,0.430455496165466,0.465111550081339,0.0425284685103416,0.0219033232628399,0.00200441552405299,0.00165582151986986,0.00707355333488264,0.007727167092726,0.000174297002091564,0.000203346502440158,0.0104578201254938,0.0107047408784569,0.91682652389269,0.0431757665989063,0.00326395052538151,0.015231769118447,0.000400836029432817,0.0211011538351419
"9",36017,"Chenango County",39232,19579,19653,18883,19112,242,153,88,76,112,116,4,4,250,192,0.49905689233279,0.50094310766721,0.481316272430669,0.487153344208809,0.0061684339314845,0.00389987765089723,0.00224306688417618,0.00193719412724307,0.00285481239804241,0.00295676998368679,0.000101957585644372,0.000101957585644372,0.00637234910277325,0.00489396411092985,0.972472396071847,0.00778507098152954,0.0038670940823284,0.00590240675723808,0.000203531267490968,0.00976950083956648
"10",36019,"Clinton County",68495,35249,33246,31503,31456,2761,589,169,131,416,637,15,17,385,416,0.514621505219359,0.485378494780641,0.45993138185269,0.45924520037959,0.0403095116431856,0.00859916782246879,0.00246733338199869,0.00191254836119425,0.00607343601722754,0.00929994890137966,0.000218994087159647,0.000248193298780933,0.0056208482370976,0.00607343601722754,0.946158936413403,0.0177164170125729,0.00394032364795765,0.019160199723275,0.000511339710040306,0.012512783492751
