"","FIPS","State","Area_Name","Rural-urban_Continuum_Code","Urban_Influence_Code","Est_Total_Pop_Ct","CI90_LB_Total_Pop_Ct","CI90_UB_Total_Pop_Ct","Est_Total_Pop_Pct","Rural-urban_Continuum_Desc","Urban_Influence_Desc"
"1","36000","NY","New York",NA,NA,2471760,2439327,2504193,13.1,NA,NA
"2","36001","NY","Albany County",2,2,33970,29708,38232,11.7,"Metro - Counties in metro areas of 250,000 to 1 million population","Small-in a metro area with fewer than 1 million residents"
"3","36003","NY","Allegany County",7,9,7491,6283,8699,17.9,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents"
"4","36005","NY","Bronx County",1,1,361834,343947,379721,26.2,"Metro - Counties in metro areas of 1 million population or more","Large-in a metro area with at least 1 million residents or more"
"5","36007","NY","Broome County",2,2,31962,28397,35527,17.8,"Metro - Counties in metro areas of 250,000 to 1 million population","Small-in a metro area with fewer than 1 million residents"
"6","36009","NY","Cattaraugus County",4,3,10821,9212,12430,14.7,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area","Micropolitan adjacent to a large metro area"
"7","36011","NY","Cayuga County",4,5,10058,8534,11582,13.8,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area","Micropolitan adjacent to a small metro area"
"8","36013","NY","Chautauqua County",4,3,19896,16908,22884,16.3,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area","Micropolitan adjacent to a large metro area"
"9","36015","NY","Chemung County",3,2,11221,9298,13144,14.1,"Metro - Counties in metro areas of fewer than 250,000 population","Small-in a metro area with fewer than 1 million residents"
"10","36017","NY","Chenango County",6,6,6368,5155,7581,13.7,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents"
"11","36019","NY","Clinton County",5,8,10950,9078,12822,14.8,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area","Micropolitan not adjacent to a metro area"
"12","36021","NY","Columbia County",6,3,5883,4591,7175,10.1,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Micropolitan adjacent to a large metro area"
"13","36023","NY","Cortland County",4,5,7542,6330,8754,17.3,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area","Micropolitan adjacent to a small metro area"
"14","36025","NY","Delaware County",6,6,5290,4106,6474,12.6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents"
"15","36027","NY","Dutchess County",1,1,23693,20057,27329,8.6,"Metro - Counties in metro areas of 1 million population or more","Large-in a metro area with at least 1 million residents or more"
"16","36029","NY","Erie County",1,1,118386,108977,127795,13.3,"Metro - Counties in metro areas of 1 million population or more","Large-in a metro area with at least 1 million residents or more"
"17","36031","NY","Essex County",6,6,4338,3531,5145,12.4,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents"
"18","36033","NY","Franklin County",7,8,8017,6753,9281,18.1,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Micropolitan not adjacent to a metro area"
"19","36035","NY","Fulton County",4,5,8533,7258,9808,16.4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area","Micropolitan adjacent to a small metro area"
"20","36037","NY","Genesee County",4,3,5825,4852,6798,10.5,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area","Micropolitan adjacent to a large metro area"
"21","36039","NY","Greene County",6,6,5589,4368,6810,12.6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents"
"22","36041","NY","Hamilton County",8,7,433,325,541,9.8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents"
"23","36043","NY","Herkimer County",2,2,8235,6744,9726,13.7,"Metro - Counties in metro areas of 250,000 to 1 million population","Small-in a metro area with fewer than 1 million residents"
"24","36045","NY","Jefferson County",3,2,15168,13196,17140,14.6,"Metro - Counties in metro areas of fewer than 250,000 population","Small-in a metro area with fewer than 1 million residents"
"25","36047","NY","Kings County",1,1,446923,424263,469583,17.7,"Metro - Counties in metro areas of 1 million population or more","Large-in a metro area with at least 1 million residents or more"
"26","36049","NY","Lewis County",6,6,3208,2553,3863,12.4,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents"
"27","36051","NY","Livingston County",1,1,7916,6866,8966,13.8,"Metro - Counties in metro areas of 1 million population or more","Large-in a metro area with at least 1 million residents or more"
"28","36053","NY","Madison County",2,2,6488,5067,7909,9.8,"Metro - Counties in metro areas of 250,000 to 1 million population","Small-in a metro area with fewer than 1 million residents"
"29","36055","NY","Monroe County",1,1,90791,83386,98196,12.7,"Metro - Counties in metro areas of 1 million population or more","Large-in a metro area with at least 1 million residents or more"
"30","36057","NY","Montgomery County",4,5,7652,6285,9019,15.9,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area","Micropolitan adjacent to a small metro area"
"31","36059","NY","Nassau County",1,1,74435,64934,83936,5.6,"Metro - Counties in metro areas of 1 million population or more","Large-in a metro area with at least 1 million residents or more"
"32","36061","NY","New York County",1,1,222672,207005,238339,14.1,"Metro - Counties in metro areas of 1 million population or more","Large-in a metro area with at least 1 million residents or more"
"33","36063","NY","Niagara County",1,1,25407,21925,28889,12.4,"Metro - Counties in metro areas of 1 million population or more","Large-in a metro area with at least 1 million residents or more"
"34","36065","NY","Oneida County",2,2,31586,27309,35863,14.6,"Metro - Counties in metro areas of 250,000 to 1 million population","Small-in a metro area with fewer than 1 million residents"
"35","36067","NY","Onondaga County",2,2,61412,55443,67381,13.8,"Metro - Counties in metro areas of 250,000 to 1 million population","Small-in a metro area with fewer than 1 million residents"
"36","36069","NY","Ontario County",1,1,8645,7101,10189,8.1,"Metro - Counties in metro areas of 1 million population or more","Large-in a metro area with at least 1 million residents or more"
"37","36071","NY","Orange County",1,1,46013,40349,51677,12.3,"Metro - Counties in metro areas of 1 million population or more","Large-in a metro area with at least 1 million residents or more"
"38","36073","NY","Orleans County",1,1,5020,3997,6043,13.2,"Metro - Counties in metro areas of 1 million population or more","Large-in a metro area with at least 1 million residents or more"
"39","36075","NY","Oswego County",2,2,17530,15013,20047,15.6,"Metro - Counties in metro areas of 250,000 to 1 million population","Small-in a metro area with fewer than 1 million residents"
"40","36077","NY","Otsego County",7,8,8809,7270,10348,16.2,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Micropolitan not adjacent to a metro area"
"41","36079","NY","Putnam County",1,1,5016,3843,6189,5.2,"Metro - Counties in metro areas of 1 million population or more","Large-in a metro area with at least 1 million residents or more"
"42","36081","NY","Queens County",1,1,245941,223169,268713,11,"Metro - Counties in metro areas of 1 million population or more","Large-in a metro area with at least 1 million residents or more"
"43","36083","NY","Rensselaer County",2,2,17506,15035,19977,11.5,"Metro - Counties in metro areas of 250,000 to 1 million population","Small-in a metro area with fewer than 1 million residents"
